0.306	-5.27788	223.504
0.306	-5.15221	226.334
0.306	-5.02655	228.393
0.306	-4.90088	229.599
0.306	-4.77522	229.906
0.306	-4.64956	229.304
0.306	-4.52389	227.819
0.306	-4.39823	225.513
0.306	-4.27257	222.478
0.306	-4.1469	218.834
0.306	-4.02124	214.718
0.306	-3.89557	210.278
0.306	-3.76991	205.665
0.306	-3.64425	201.024
0.306	-3.51858	196.491
0.306	-3.39292	192.181
0.306	-3.26726	188.189
0.306	-3.14159	184.585
0.306	-3.01593	181.417
0.306	-2.89027	178.704
0.306	-2.7646	176.444
0.306	-2.63894	174.615
0.306	-2.51327	173.177
0.306	-2.38761	172.079
0.306	-2.26195	171.264
0.306	-2.13628	170.672
0.306	-2.01062	170.248
0.306	-1.88496	169.946
0.306	-1.75929	169.732
0.306	-1.63363	169.588
0.306	-1.50796	169.513
0.306	-1.3823	169.525
0.306	-1.25664	169.658
0.306	-1.13097	169.958
0.306	-1.00531	170.481
0.306	-0.879646	171.289
0.306	-0.753982	172.443
0.306	-0.628319	173.998
0.306	-0.502655	175.997
0.306	-0.376991	178.47
0.306	-0.251327	181.426
0.306	-0.125664	184.852
0.306	0	188.711
0.306	0.125664	192.943
0.306	0.251327	197.46
0.306	0.376991	202.157
0.306	0.502655	206.904
0.306	0.628319	211.562
0.306	0.753982	215.98
0.306	0.879646	220.009
0.306	1.00531	223.504
0.306	1.13097	226.334
0.306	1.25664	228.393
0.306	1.3823	229.599
0.306	1.50796	229.906
0.306	1.63363	229.304
0.306	1.75929	227.819
0.306	1.88496	225.513
0.306	2.01062	222.478
0.306	2.13628	218.834
0.306	2.26195	214.718
0.306	2.38761	210.278
0.306	2.51327	205.665
0.306	2.63894	201.024
0.306	2.7646	196.491
0.306	2.89027	192.181
0.306	3.01593	188.189
0.306	3.14159	184.585
0.306	3.26726	181.417
0.306	3.39292	178.704
0.306	3.51858	176.444
0.306	3.64425	174.615
0.306	3.76991	173.177
0.306	3.89557	172.079
0.306	4.02124	171.264
0.306	4.1469	170.672
0.306	4.27257	170.248
0.306	4.39823	169.946
0.306	4.52389	169.732
0.306	4.64956	169.588
0.306	4.77522	169.513
0.306	4.90088	169.525
0.306	5.02655	169.658
0.306	5.15221	169.958
0.306	5.27788	170.481
0.306	5.40354	171.289
0.306	5.5292	172.443
0.306	5.65487	173.998
0.306	5.78053	175.997
0.306	5.90619	178.47
0.306	6.03186	181.426
0.306	6.15752	184.852
0.306	6.28319	188.711
0.308	-6.15752	186.331
0.308	-6.03186	190.875
0.308	-5.90619	195.598
0.308	-5.78053	200.374
0.308	-5.65487	205.061
0.308	-5.5292	209.508
0.308	-5.40354	213.563
0.308	-5.27788	217.081
0.308	-5.15221	219.931
0.308	-5.02655	222.003
0.308	-4.90088	223.218
0.308	-4.77522	223.527
0.308	-4.64956	222.922
0.308	-4.52389	221.427
0.308	-4.39823	219.105
0.308	-4.27257	216.051
0.308	-4.1469	212.383
0.308	-4.02124	208.24
0.308	-3.89557	203.773
0.308	-3.76991	199.132
0.308	-3.64425	194.465
0.308	-3.51858	189.906
0.308	-3.39292	185.573
0.308	-3.26726	181.561
0.308	-3.14159	177.941
0.308	-3.01593	174.76
0.308	-2.89027	172.036
0.308	-2.7646	169.769
0.308	-2.63894	167.935
0.308	-2.51327	166.495
0.308	-2.38761	165.396
0.308	-2.26195	164.581
0.308	-2.13628	163.989
0.308	-2.01062	163.566
0.308	-1.88496	163.264
0.308	-1.75929	163.049
0.308	-1.63363	162.903
0.308	-1.50796	162.826
0.308	-1.3823	162.836
0.308	-1.25664	162.965
